epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.4377,2.20957,4.17065,1.84447,0.05363,0.24061,0.02607,0.01152,1.47475,3.93208,1.21762,0.000202546,0.000202546,0.000202546
2,62.5612,1.46362,3.89723,1.2581,0.04522,0.55724,0.09083,0.05128,1.33202,3.77832,1.0926,0.000408168,0.000408168,0.000408168
3,77.7841,1.27591,3.51301,1.13652,0.05741,0.75786,0.12589,0.07834,1.17716,3.45744,1.05733,0.000611039,0.000611039,0.000611039
4,92.7804,1.18832,3.22488,1.1192,0.1901,0.38779,0.2009,0.14218,1.10623,2.80302,1.09656,0.000612625,0.000612625,0.000612625
5,107.49,1.05051,2.90417,1.08897,0.66963,0.23628,0.24463,0.18016,0.97385,2.56359,1.05263,0.0006085,0.0006085,0.0006085
6,122.312,1.0608,2.6075,1.1101,0.75616,0.28694,0.33579,0.24219,1.01808,2.3585,1.07754,0.000604375,0.000604375,0.000604375
7,137.241,1.01628,2.37508,1.1107,0.34664,0.47384,0.39573,0.28199,1.0494,2.16646,1.10182,0.00060025,0.00060025,0.00060025
8,152.152,0.95144,2.21856,1.08907,0.475,0.54642,0.48638,0.37634,0.8319,1.90637,1.0157,0.000596125,0.000596125,0.000596125
9,166.833,0.88125,1.9662,1.04353,0.46204,0.63987,0.56412,0.43205,0.82715,1.77131,0.99916,0.000592,0.000592,0.000592
10,181.504,0.87151,1.82696,1.0449,0.48318,0.67397,0.61245,0.47492,0.84083,1.62213,1.03456,0.000587875,0.000587875,0.000587875
11,196.308,0.81381,1.67068,1.0115,0.49973,0.70273,0.63627,0.51349,0.76462,1.48062,0.99588,0.00058375,0.00058375,0.00058375
12,211.223,0.78625,1.61074,0.99537,0.54914,0.76383,0.73382,0.5968,0.72263,1.4786,0.97206,0.000579625,0.000579625,0.000579625
13,225.789,0.73293,1.48567,0.98838,0.70246,0.67785,0.77646,0.62195,0.76589,1.33409,0.98369,0.0005755,0.0005755,0.0005755
14,239.989,0.71855,1.41592,0.96623,0.75094,0.69582,0.79141,0.66133,0.69206,1.26248,0.956,0.000571375,0.000571375,0.000571375
15,254.334,0.70481,1.36548,0.96612,0.76561,0.71067,0.81464,0.67665,0.70048,1.19449,0.97053,0.00056725,0.00056725,0.00056725
16,268.797,0.74911,1.33614,0.99266,0.7595,0.78806,0.84944,0.69908,0.7802,1.20758,0.99718,0.000563125,0.000563125,0.000563125
17,283.01,0.73804,1.28375,0.97617,0.78587,0.82421,0.86681,0.70726,0.70001,1.11535,0.97453,0.000559,0.000559,0.000559
18,297.062,0.68578,1.23428,0.9517,0.79231,0.87601,0.89695,0.74021,0.67925,1.10981,0.9453,0.000554875,0.000554875,0.000554875
19,311.327,0.64865,1.17043,0.94246,0.87272,0.85932,0.92565,0.78876,0.59944,1.0152,0.91457,0.00055075,0.00055075,0.00055075
20,326.426,0.63023,1.12081,0.93572,0.91522,0.869,0.94578,0.82481,0.57173,0.9458,0.9082,0.000546625,0.000546625,0.000546625
21,340.4,0.60822,1.08369,0.92349,0.92536,0.85547,0.94411,0.82705,0.55758,0.95128,0.89654,0.0005425,0.0005425,0.0005425
22,354.375,0.56612,1.00399,0.90726,0.93921,0.8999,0.95802,0.83968,0.55833,0.87934,0.89739,0.000538375,0.000538375,0.000538375
23,368.376,0.56781,0.96689,0.90853,0.927,0.93316,0.96854,0.84999,0.53816,0.82803,0.88839,0.00053425,0.00053425,0.00053425
24,382.679,0.55931,0.96045,0.90893,0.94825,0.94959,0.97589,0.86579,0.52119,0.80835,0.88037,0.000530125,0.000530125,0.000530125
25,396.852,0.55421,0.93664,0.90363,0.94028,0.93365,0.97082,0.85806,0.5136,0.79823,0.87701,0.000526,0.000526,0.000526
26,410.883,0.53994,0.8875,0.88885,0.96562,0.95695,0.98043,0.86656,0.54667,0.75547,0.87746,0.000521875,0.000521875,0.000521875
